Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78
  Span (min) (P1),,,,split_detail,,176.24,187.53,187.53,3063.88,3663.97,5027.47,171.06,171.06,171.06,193.88,190.33,5388.94,5388.94,5388.94,5388.94,5388.94,5388.94,5388.94,5388.94,3151.91,5323.70,176.17,173.14,184.98,5241.45,5233.82,5233.82,163.32,149.36,149.36,159.68,3234.73,3234.73,161.14,161.14,159.30,164.81,2913.39,3205.17,164.30,141.54,151.85,2833.62,2963.64,163.64,163.64,171.91,171.91,160.19,3406.47,154.35,2583.03,2675.89,2673.41,138.29,174.31,157.88,157.88,2705.45,2705.45,2575.72,2717.50,2475.90,149.29,2927.17,2988.85,2988.85,2988.85,2470.20,2442.15,2475.43,2464.26,2489.65,2510.44,2350.29,2339.81,2290.71,2252.27,2447.01
  Sortino (P3),,,,split_detail,,-1.0481,1.6852,1.6852,4.0230,-1.8219,9.9523,-1.0193,-1.0193,-1.0193,0.9404,-1.0513,8.8618,8.8618,8.8618,8.8618,8.8618,8.8618,8.8618,8.8618,3.1790,-3.4304,-1.8404,-0.2368,3.0904,-2.9397,-2.9094,-2.9094,-2.4247,-6.2275,-6.2275,-1.6893,-1.0875,-1.0875,-5.0668,-5.0668,-1.5974,-4.4850,-1.3419,-2.2855,-0.6061,-1.6926,-3.4379,-0.5607,0.1074,-0.7331,-0.7331,-0.6364,-0.6364,-1.9369,-4.9740,-3.1824,-4.2336,-1.6531,-1.4697,-2.0281,-2.5203,-2.6202,-2.6202,-0.2586,-0.2586,-1.5618,-2.4253,-5.3165,-5.9282,-4.0069,-2.7901,-2.7901,-2.7901,-5.1244,-0.5107,-3.0359,-1.8673,-1.2087,-4.5591,-1.2212,-5.0339,-5.0909,-2.6399,-3.1399
  Trades/D (P3),,,,split_detail,,0.372,0.354,0.354,0.530,0.512,0.317,0.378,0.378,0.378,0.348,0.323,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.500,0.354,0.335,0.390,0.378,0.378,0.378,0.378,0.402,0.409,0.409,0.451,0.561,0.561,0.396,0.396,0.451,0.421,0.555,0.634,0.445,0.524,0.494,0.640,0.604,0.537,0.537,0.524,0.524,0.555,0.598,0.512,0.677,0.646,0.652,0.579,0.470,0.555,0.555,0.720,0.720,0.787,0.738,0.720,0.427,0.628,0.591,0.591,0.591,0.817,0.640,0.659,0.671,0.805,0.768,0.756,0.841,0.841,0.860,0.774
  Profit Fac (P3),,,,split_detail,,0.9338,1.1191,1.1191,1.2171,0.8606,1.9424,0.9525,0.9525,0.9525,1.0638,0.9359,1.8233,1.8233,1.8233,1.8233,1.8233,1.8233,1.8233,1.8233,1.1870,0.6963,0.8884,0.9855,1.2209,0.7216,0.7317,0.7317,0.8621,0.7067,0.7067,0.8693,0.9268,0.9268,0.7161,0.7161,0.8755,0.7304,0.9183,0.8313,0.9556,0.9051,0.7789,0.9627,1.0078,0.9419,0.9419,0.9517,0.9517,0.8604,0.6290,0.7937,0.7175,0.8719,0.8876,0.8692,0.8289,0.8170,0.8170,0.9777,0.9777,0.8842,0.8023,0.6422,0.6425,0.7278,0.7839,0.7839,0.7839,0.6744,0.9581,0.7962,0.8565,0.9098,0.6827,0.9095,0.6839,0.6803,0.8150,0.7871
  Max DD (P3),,,,split_detail,,"$5,010.00","$4,179.50","$4,179.50","$3,784.00","$7,343.00","$1,954.50","$5,059.00","$5,059.00","$5,059.00","$4,975.00","$4,807.50","$1,954.50","$1,954.50","$1,954.50","$1,954.50","$1,954.50","$1,954.50","$1,954.50","$1,954.50","$4,959.00","$6,366.50","$5,568.50","$6,770.00","$4,121.50","$6,820.00","$6,410.50","$6,410.50","$6,547.00","$7,206.00","$7,206.00","$7,238.00","$5,327.00","$5,327.00","$7,064.00","$7,064.00","$7,140.00","$7,131.00","$6,107.50","$6,733.00","$4,520.50","$6,065.00","$6,414.00","$5,532.00","$5,580.50","$4,844.50","$4,844.50","$7,212.50","$7,212.50","$8,031.00","$15,393.00","$7,770.50","$13,001.00","$7,939.50","$7,814.50","$8,711.00","$7,639.50","$8,466.00","$8,466.00","$4,884.50","$4,884.50","$6,625.00","$10,992.50","$15,964.00","$9,827.50","$11,670.00","$13,490.50","$13,490.50","$13,490.50","$15,263.50","$5,913.50","$8,909.00","$8,873.00","$6,986.00","$15,125.00","$7,108.00","$17,713.00","$17,880.00","$11,844.50","$9,328.00"
  Total PNL (P3),,,,split_detail,,"$-1,351.50","$2,145.00","$2,145.00","$5,208.00","$-3,641.50","$9,661.50",$-941.50,$-941.50,$-941.50,"$1,157.50","$-1,143.50","$8,104.50","$8,104.50","$8,104.50","$8,104.50","$8,104.50","$8,104.50","$8,104.50","$8,104.50","$4,862.50","$-5,062.50","$-2,103.00",$-303.00,"$4,138.50","$-4,916.00","$-4,673.50","$-4,673.50","$-3,111.50","$-6,545.50","$-6,545.50","$-3,105.00","$-2,198.50","$-2,198.50","$-6,403.50","$-6,403.50","$-2,936.50","$-7,176.50","$-2,334.00","$-5,928.00","$-1,089.00","$-2,566.50","$-6,158.00","$-1,217.50",$243.00,"$-1,707.00","$-1,707.00","$-1,470.50","$-1,470.50","$-4,531.50","$-12,944.00","$-5,913.00","$-9,849.50","$-5,045.50","$-4,359.50","$-4,026.00","$-4,141.00","$-6,062.50","$-6,062.50",$-812.00,$-812.00,"$-4,369.00","$-7,381.00","$-14,345.50","$-9,734.50","$-8,782.00","$-6,386.50","$-6,386.50","$-6,386.50","$-14,967.50","$-1,211.50","$-6,671.00","$-4,912.00","$-3,465.00","$-13,758.50","$-3,263.00","$-14,748.50","$-14,915.50","$-7,800.00","$-9,359.50"
  Avg Profit/Tr (P3),,,,split_detail,,$-22.16,$36.98,$36.98,$59.86,$-43.35,$185.80,$-15.19,$-15.19,$-15.19,$20.31,$-21.58,$168.84,$168.84,$168.84,$168.84,$168.84,$168.84,$168.84,$168.84,$59.30,$-87.28,$-38.24,$-4.73,$66.75,$-79.29,$-75.38,$-75.38,$-47.14,$-97.69,$-97.69,$-41.96,$-23.90,$-23.90,$-98.52,$-98.52,$-39.68,$-104.01,$-25.65,$-57.00,$-14.92,$-29.84,$-76.02,$-11.60,$2.45,$-19.40,$-19.40,$-17.10,$-17.10,$-49.80,$-132.08,$-70.39,$-88.73,$-47.60,$-40.74,$-42.38,$-53.78,$-66.62,$-66.62,$-6.88,$-6.88,$-33.87,$-61.00,$-121.57,$-139.06,$-85.26,$-65.84,$-65.84,$-65.84,$-111.70,$-11.54,$-61.77,$-44.65,$-26.25,$-109.19,$-26.31,$-106.87,$-108.08,$-55.32,$-73.70
  Span (min) (P3),,,,split_detail,,179.41,208.14,208.14,134.48,167.83,129.77,164.13,164.13,164.13,202.74,198.57,125.42,125.42,125.42,125.42,125.42,125.42,125.42,125.42,165.80,109.14,198.98,185.44,202.65,111.61,109.68,109.68,167.45,145.25,145.25,166.68,159.52,159.52,164.12,164.12,162.32,167.48,133.05,160.73,167.18,138.28,159.85,138.86,148.00,168.95,168.95,173.58,173.58,165.23,133.10,142.57,144.11,161.32,157.91,139.20,151.01,158.77,158.77,153.15,153.15,123.26,135.67,135.76,158.57,129.32,127.92,127.92,127.92,123.40,128.34,119.67,140.40,131.09,120.19,118.55,111.74,110.43,126.98,133.13
  Sortino (P5),,,,split_detail,,13.8312,13.4312,13.4312,3.4370,2.1319,2.0859,15.9243,15.9243,15.9243,11.9128,10.1670,1.6316,1.6316,1.6316,1.6316,1.6316,1.6316,1.6316,1.6316,2.1598,7.9649,11.7252,11.2779,10.3701,8.2965,9.1137,9.1137,12.8804,14.5423,14.5423,2.9971,4.3367,4.3367,11.6146,11.6146,2.9841,8.4257,5.8540,4.1583,5.5086,9.5069,8.9483,5.2301,3.0272,6.6180,6.6180,7.8012,7.8012,5.3986,8.6355,8.2710,5.4351,-0.1847,0.6038,6.9421,3.8752,5.4150,5.4150,1.5717,1.5717,1.8340,3.7366,6.8581,6.3932,8.4871,2.7098,2.7098,2.7098,6.1275,1.2516,-0.7511,2.0958,-0.4869,3.1082,-0.4209,2.2050,1.8867,-0.4505,1.0713
  Trades/D (P5),,,,split_detail,,0.372,0.360,0.360,0.677,0.537,0.354,0.378,0.378,0.378,0.390,0.378,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.634,0.268,0.348,0.445,0.366,0.293,0.293,0.293,0.463,0.463,0.463,0.482,0.585,0.585,0.451,0.451,0.482,0.506,0.628,0.671,0.555,0.543,0.567,0.652,0.683,0.561,0.561,0.579,0.579,0.549,0.427,0.573,0.598,0.738,0.750,0.567,0.579,0.549,0.549,0.799,0.799,0.817,0.799,0.604,0.512,0.518,0.488,0.488,0.488,0.616,0.854,0.835,0.848,0.835,0.689,0.927,0.720,0.744,0.872,0.756
  Profit Fac (P5),,,,split_detail,,2.0042,1.9799,1.9799,1.2215,1.2290,1.1393,1.9481,1.9481,1.9481,1.9204,1.7535,1.1008,1.1008,1.1008,1.1008,1.1008,1.1008,1.1008,1.1008,1.1598,1.8400,1.9361,1.9191,1.7384,1.8649,2.0323,2.0323,1.9849,1.9284,1.9284,1.3434,1.2964,1.2964,1.8648,1.8648,1.3395,1.5854,1.3738,1.2905,1.4188,1.5287,1.6015,1.3227,1.2026,1.4606,1.4606,1.5843,1.5843,1.3771,1.8422,1.6041,1.3990,0.9877,1.0415,1.4145,1.2781,1.3796,1.3796,1.1024,1.1024,1.1112,1.2154,1.6951,1.4719,1.6527,1.1753,1.1753,1.1753,1.5542,1.0695,0.9609,1.1345,0.9696,1.2948,0.9733,1.1876,1.1577,0.9713,1.0765
  Max DD (P5),,,,split_detail,,"$9,175.00","$9,559.00","$9,559.00","$14,878.00","$10,654.00","$5,395.50","$5,362.00","$5,362.00","$5,362.00","$9,411.50","$9,616.50","$5,395.50","$5,395.50","$5,395.50","$5,395.50","$5,395.50","$5,395.50","$5,395.50","$5,395.50","$20,749.50","$4,068.00","$10,672.50","$10,462.50","$9,806.50","$4,414.00","$4,470.50","$4,470.50","$9,621.00","$10,495.50","$10,495.50","$10,369.00","$13,462.00","$13,462.00","$9,621.00","$9,621.00","$10,369.00","$13,606.00","$13,924.00","$17,160.00","$12,544.00","$8,116.00","$10,030.50","$18,084.00","$17,832.50","$11,500.50","$11,500.50","$10,063.50","$10,063.50","$13,098.50","$5,854.50","$9,473.00","$11,617.00","$27,210.00","$28,323.00","$10,803.50","$15,164.50","$12,846.00","$12,846.00","$23,924.00","$23,924.00","$21,701.00","$23,752.50","$9,813.00","$11,566.50","$5,338.50","$10,152.50","$10,152.50","$10,152.50","$5,276.50","$21,255.50","$18,806.50","$20,499.50","$32,098.00","$10,298.50","$19,832.50","$10,300.50","$10,300.50","$27,826.50","$24,031.50"
  Total PNL (P5),,,,split_detail,,"$33,092.50","$32,808.50","$32,808.50","$12,382.00","$12,064.00","$4,133.00","$29,705.50","$29,705.50","$29,705.50","$31,962.00","$26,409.00","$2,956.50","$2,956.50","$2,956.50","$2,956.50","$2,956.50","$2,956.50","$2,956.50","$2,956.50","$9,866.00","$13,416.00","$30,302.50","$35,451.50","$26,321.50","$15,378.00","$16,995.50","$16,995.50","$38,822.00","$34,624.50","$34,624.50","$15,805.00","$17,409.50","$17,409.50","$34,085.50","$34,085.50","$15,670.00","$27,874.00","$21,596.00","$20,088.50","$21,911.50","$23,776.00","$28,877.50","$20,773.00","$13,890.00","$26,216.50","$26,216.50","$31,553.50","$31,553.50","$20,382.00","$23,954.50","$28,654.00","$19,903.50","$-1,014.00","$3,320.50","$20,700.00","$14,501.00","$20,480.00","$20,480.00","$8,664.00","$8,664.00","$8,745.00","$17,211.50","$29,558.00","$20,519.00","$24,994.50","$8,084.00","$8,084.00","$8,084.00","$24,059.50","$5,467.50","$-2,749.00","$11,260.50","$-2,413.00","$17,290.00","$-2,381.50","$11,655.50","$10,175.00","$-2,409.00","$5,700.00"
  Avg Profit/Tr (P5),,,,split_detail,,$542.50,$556.08,$556.08,$111.55,$137.09,$71.26,$479.12,$479.12,$479.12,$499.41,$425.95,$52.79,$52.79,$52.79,$52.79,$52.79,$52.79,$52.79,$52.79,$94.87,$304.91,$531.62,$485.64,$438.69,$320.37,$354.07,$354.07,$510.82,$455.59,$455.59,$200.06,$181.35,$181.35,$460.61,$460.61,$198.35,$335.83,$209.67,$182.62,$240.79,$267.15,$310.51,$194.14,$124.02,$284.96,$284.96,$332.14,$332.14,$226.47,$342.21,$304.83,$203.10,$-8.38,$27.00,$222.58,$152.64,$227.56,$227.56,$66.14,$66.14,$65.26,$131.39,$298.57,$244.27,$294.05,$101.05,$101.05,$101.05,$238.21,$39.05,$-20.07,$81.01,$-17.61,$153.01,$-15.67,$98.78,$83.40,$-16.85,$45.97
  Span (min) (P5),,,,split_detail,,195.15,209.90,209.90,127.24,174.84,119.97,172.65,172.65,172.65,203.81,201.68,112.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,154.96,131.59,216.00,196.93,206.60,129.17,126.46,126.46,187.58,169.89,169.89,178.63,174.00,174.00,187.46,187.46,177.57,179.71,154.60,175.96,166.68,150.34,170.71,164.97,163.29,195.91,195.91,195.66,195.66,175.07,181.20,161.87,161.76,168.60,164.59,150.71,167.49,174.40,174.40,163.88,163.88,144.00,157.65,163.27,173.29,166.87,162.90,162.90,162.90,148.75,134.83,114.39,152.37,139.53,154.19,124.42,142.78,137.11,142.49,143.13
  Sortino (P7),,,,split_detail,,0.6659,0.1553,0.1553,-4.3428,6.4931,3.6195,2.0925,2.0925,2.0925,-0.4867,1.5690,5.5829,5.5829,5.5829,5.5829,5.5829,5.5829,5.5829,5.5829,-4.0881,2.2347,2.7192,-1.8178,1.2228,3.0679,2.1241,2.1241,-1.9208,-1.0557,-1.0557,10.3999,-2.0524,-2.0524,-2.3601,-2.3601,10.7053,-0.7702,-4.4079,0.2606,-2.2512,0.0269,-1.4507,-2.7276,-1.0409,0.4626,0.4626,-2.7140,-2.7140,-1.8784,-1.7558,-0.2092,-0.9531,0.2422,-0.4772,-1.7784,1.4075,-1.9126,-1.9126,-2.5532,-2.5532,-2.1431,-3.0757,-0.7051,-0.4367,-3.1544,-2.7434,-2.7434,-2.5266,-1.9062,-5.0543,-4.7764,-3.5814,-3.6296,-0.3037,-4.0872,-0.9271,-0.6916,-2.1712,0.8395
  Trades/D (P7),,,,split_detail,,0.317,0.317,0.317,0.622,0.390,0.274,0.335,0.335,0.335,0.305,0.274,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.591,0.299,0.329,0.427,0.341,0.354,0.354,0.354,0.451,0.433,0.433,0.335,0.555,0.555,0.427,0.427,0.335,0.445,0.622,0.585,0.524,0.494,0.494,0.604,0.616,0.561,0.561,0.555,0.555,0.512,0.530,0.537,0.701,0.677,0.683,0.518,0.549,0.512,0.512,0.720,0.720,0.744,0.713,0.665,0.476,0.659,0.640,0.640,0.646,0.610,0.695,0.762,0.738,0.835,0.756,0.762,0.780,0.780,0.829,0.762
  Profit Fac (P7),,,,split_detail,,1.0390,1.0096,1.0096,0.7497,1.4836,1.3207,1.1143,1.1143,1.1143,0.9730,1.0943,1.5558,1.5558,1.5558,1.5558,1.5558,1.5558,1.5558,1.5558,0.7449,1.1566,1.1726,0.8878,1.0866,1.2402,1.1631,1.1631,0.8842,0.9373,0.9373,1.8249,0.8606,0.8606,0.8605,0.8605,1.8519,0.9524,0.7291,1.0199,0.8395,1.0017,0.9077,0.8059,0.9262,1.0342,1.0342,0.8113,0.8113,0.8568,0.8764,0.9860,0.9370,1.0187,0.9649,0.8719,1.0978,0.8564,0.8564,0.8260,0.8260,0.8577,0.7977,0.9457,0.9686,0.7677,0.8192,0.8192,0.8319,0.8662,0.7317,0.7282,0.7949,0.7277,0.9768,0.7529,0.9358,0.9521,0.8413,1.0777
  Max DD (P7),,,,split_detail,,"$6,537.00","$7,286.00","$7,286.00","$14,324.00","$7,028.00","$2,545.50","$5,672.00","$5,672.00","$5,672.00","$7,646.50","$6,030.50","$2,116.00","$2,116.00","$2,116.00","$2,116.00","$2,116.00","$2,116.00","$2,116.00","$2,116.00","$15,408.00","$5,067.00","$7,936.00","$10,724.00","$6,985.00","$4,851.50","$5,352.50","$5,352.50","$9,158.00","$7,598.00","$7,598.00","$5,867.00","$9,167.00","$9,167.00","$10,167.50","$10,167.50","$5,765.50","$8,265.00","$14,406.50","$7,076.50","$10,147.50","$5,891.50","$7,720.50","$11,177.00","$8,074.00","$6,374.00","$6,374.00","$10,682.00","$10,682.00","$10,619.50","$12,953.50","$10,470.50","$14,003.00","$9,334.00","$10,554.00","$9,471.50","$8,315.50","$10,646.50","$10,646.50","$12,012.00","$12,012.00","$11,581.00","$13,022.00","$13,638.50","$5,478.50","$15,522.50","$15,945.50","$15,945.50","$15,473.50","$12,878.00","$13,445.50","$13,462.00","$15,020.00","$19,631.00","$12,710.00","$16,027.50","$14,823.50","$14,074.00","$14,448.50","$8,940.50"
  Total PNL (P7),,,,split_detail,,$838.00,$211.50,$211.50,"$-10,086.50","$9,636.00","$4,236.00","$2,232.50","$2,232.50","$2,232.50",$-584.00,"$1,775.50","$6,352.00","$6,352.00","$6,352.00","$6,352.00","$6,352.00","$6,352.00","$6,352.00","$6,352.00","$-10,819.00","$2,216.50","$3,627.50","$-3,168.50","$1,862.50","$3,826.00","$2,605.00","$2,605.00","$-3,533.50","$-1,652.00","$-1,652.00","$12,755.50","$-4,643.00","$-4,643.00","$-4,062.50","$-4,062.50","$12,981.00","$-1,378.00","$-10,618.00",$666.50,"$-5,623.50",$45.00,"$-2,856.00","$-7,088.00","$-2,845.50","$1,088.50","$1,088.50","$-6,627.00","$-6,627.00","$-4,618.50","$-4,069.00",$-460.00,"$-2,394.50",$732.00,"$-1,436.00","$-3,790.00","$3,270.00","$-4,632.50","$-4,632.50","$-7,948.00","$-7,948.00","$-6,156.50","$-8,958.00","$-2,115.50",$-871.00,"$-9,716.00","$-6,720.00","$-6,720.00","$-6,248.00","$-5,251.50","$-10,680.50","$-11,151.00","$-10,296.00","$-13,751.50","$-1,036.50","$-11,575.50","$-2,922.50","$-2,173.00","$-7,824.00","$3,443.00"
  Avg Profit/Tr (P7),,,,split_detail,,$16.12,$4.07,$4.07,$-98.89,$150.56,$94.13,$40.59,$40.59,$40.59,$-11.68,$39.46,$147.72,$147.72,$147.72,$147.72,$147.72,$147.72,$147.72,$147.72,$-111.54,$45.23,$67.18,$-45.26,$33.26,$65.97,$44.91,$44.91,$-47.75,$-23.27,$-23.27,$231.92,$-51.02,$-51.02,$-58.04,$-58.04,$236.02,$-18.88,$-104.10,$6.94,$-65.39,$0.56,$-35.26,$-71.60,$-28.17,$11.83,$11.83,$-72.82,$-72.82,$-54.98,$-46.77,$-5.23,$-20.82,$6.59,$-12.82,$-44.59,$36.33,$-55.15,$-55.15,$-67.36,$-67.36,$-50.46,$-76.56,$-19.41,$-11.17,$-89.96,$-64.00,$-64.00,$-58.94,$-52.51,$-93.69,$-89.21,$-85.09,$-100.38,$-8.36,$-92.60,$-22.83,$-16.98,$-57.53,$27.54
  Span (min) (P7),,,,split_detail,,167.77,176.31,176.31,128.00,166.25,129.89,148.80,148.80,148.80,180.72,186.67,129.42,129.42,129.42,129.42,129.42,129.42,129.42,129.42,154.89,123.06,188.67,159.43,179.14,118.62,119.14,119.14,151.30,146.37,146.37,167.75,148.88,148.88,157.71,157.71,166.98,147.29,130.59,145.75,148.74,135.26,147.85,130.06,149.70,155.48,155.48,141.49,141.49,147.00,129.93,141.27,130.02,144.65,139.18,132.28,151.20,145.86,145.86,145.12,145.12,122.26,132.51,135.85,146.31,115.44,129.14,129.14,129.40,131.16,118.00,102.34,137.16,118.34,140.81,112.90,128.06,130.31,120.44,135.17
  Sortino (P9),,,,split_detail,,10.9756,9.3036,9.3036,4.1327,7.0668,-5.5515,7.3375,7.3375,7.3375,6.3043,6.9459,-4.5492,-4.5492,-4.5492,-4.5492,-4.5492,-4.5492,-4.5492,-4.5492,6.4410,-5.0552,7.5654,5.5939,7.5322,-1.3328,-0.5528,-0.5528,7.0603,3.8222,3.8222,4.8203,2.0927,2.0927,8.1741,8.1741,4.1425,9.6977,4.7514,2.9915,7.9413,3.9267,6.7261,1.2686,2.0844,4.6887,4.6887,5.1451,5.1451,6.1934,1.5855,2.8226,1.4152,0.2912,0.5687,4.5646,4.0309,6.0941,6.0941,2.2784,2.2784,0.3137,1.1906,-1.5470,4.5877,0.1926,2.9505,2.9505,2.6832,-3.6960,-3.1509,-4.3150,0.1841,1.0367,2.5821,-0.5829,0.8085,1.1453,-1.3527,-1.4657
  Trades/D (P9),,,,split_detail,,0.378,0.378,0.378,0.628,0.433,0.311,0.378,0.378,0.378,0.378,0.372,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.622,0.274,0.445,0.494,0.402,0.287,0.293,0.293,0.494,0.494,0.494,0.372,0.628,0.628,0.482,0.482,0.378,0.524,0.628,0.604,0.555,0.537,0.530,0.640,0.707,0.518,0.518,0.537,0.537,0.549,0.555,0.573,0.720,0.665,0.665,0.549,0.634,0.549,0.549,0.713,0.713,0.750,0.744,0.780,0.524,0.750,0.713,0.713,0.720,0.774,0.823,0.780,0.793,0.799,0.713,0.890,0.762,0.787,0.902,0.835
  Profit Fac (P9),,,,split_detail,,1.8990,1.6986,1.6986,1.2984,1.5455,0.6010,1.5419,1.5419,1.5419,1.4428,1.4760,0.6771,0.6771,0.6771,0.6771,0.6771,0.6771,0.6771,0.6771,1.4715,0.7288,1.5491,1.3940,1.5695,0.9115,0.9677,0.9677,1.5157,1.2697,1.2697,1.3341,1.1458,1.1458,1.6258,1.6258,1.3020,1.7150,1.3398,1.2210,1.5980,1.2982,1.5163,1.0914,1.1556,1.3459,1.3459,1.3505,1.3505,1.4570,1.1096,1.2331,1.0882,1.0190,1.0383,1.3428,1.3021,1.4472,1.4472,1.1509,1.1509,1.0211,1.0801,0.9043,1.3305,1.0125,1.1944,1.1944,1.1743,0.7987,0.7976,0.7243,1.0134,1.0717,1.1743,0.9596,1.0475,1.0667,0.9156,0.8949
  Max DD (P9),,,,split_detail,,"$4,832.00","$6,369.50","$6,369.50","$8,072.00","$3,584.00","$8,054.00","$5,565.00","$5,565.00","$5,565.00","$8,954.50","$8,124.00","$5,857.50","$5,857.50","$5,857.50","$5,857.50","$5,857.50","$5,857.50","$5,857.50","$5,857.50","$8,877.50","$7,871.00","$7,874.00","$9,918.00","$6,234.00","$9,156.00","$7,748.00","$7,748.00","$6,958.50","$8,044.50","$8,044.50","$5,501.00","$10,706.50","$10,706.50","$5,985.00","$5,985.00","$7,031.00","$6,231.00","$8,859.00","$10,286.00","$8,531.00","$7,880.00","$7,954.00","$9,204.00","$11,418.50","$5,908.00","$5,908.00","$7,315.50","$7,315.50","$10,547.00","$9,041.00","$9,927.00","$12,383.50","$10,464.00","$10,187.50","$8,126.00","$9,157.00","$10,245.50","$10,245.50","$13,145.50","$13,145.50","$12,064.50","$13,903.50","$19,244.00","$8,370.00","$9,530.00","$10,971.50","$10,971.50","$11,802.00","$21,371.50","$20,590.00","$21,086.50","$13,242.50","$13,404.50","$11,949.50","$10,362.50","$14,571.50","$13,984.00","$18,091.00","$15,424.50"
  Total PNL (P9),,,,split_detail,,"$15,639.00","$13,586.00","$13,586.00","$10,794.00","$14,574.50","$-7,794.00","$9,866.50","$9,866.50","$9,866.50","$10,022.00","$10,530.50","$-5,597.50","$-5,597.50","$-5,597.50","$-5,597.50","$-5,597.50","$-5,597.50","$-5,597.50","$-5,597.50","$17,304.50","$-5,983.50","$12,081.50","$10,664.50","$12,465.50","$-2,047.00",$-705.00,$-705.00,"$13,037.50","$7,274.00","$7,274.00","$8,507.50","$5,673.00","$5,673.00","$14,750.50","$14,750.50","$7,624.50","$18,986.50","$12,470.50","$8,292.00","$18,557.00","$9,041.50","$15,185.50","$3,829.00","$7,218.00","$11,372.50","$11,372.50","$12,282.50","$12,282.50","$14,664.00","$4,307.50","$7,616.50","$4,488.50",$878.00,"$1,736.50","$10,774.00","$12,306.50","$14,446.00","$14,446.00","$7,137.00","$7,137.00","$1,008.50","$3,838.50","$-5,381.50","$10,641.00",$655.50,"$9,401.50","$9,401.50","$8,571.00","$-12,538.50","$-11,103.50","$-13,715.50",$711.50,"$3,676.00","$8,486.50","$-2,293.00","$2,562.00","$3,676.50","$-5,368.50","$-6,332.50"
  Avg Profit/Tr (P9),,,,split_detail,,$252.24,$219.13,$219.13,$104.80,$205.27,$-152.82,$159.14,$159.14,$159.14,$161.65,$172.63,$-114.23,$-114.23,$-114.23,$-114.23,$-114.23,$-114.23,$-114.23,$-114.23,$169.65,$-132.97,$165.50,$131.66,$188.87,$-43.55,$-14.69,$-14.69,$160.96,$89.80,$89.80,$139.47,$55.08,$55.08,$186.72,$186.72,$122.98,$220.77,$121.07,$83.76,$203.92,$102.74,$174.55,$36.47,$62.22,$133.79,$133.79,$139.57,$139.57,$162.93,$47.34,$81.03,$38.04,$8.06,$15.93,$119.71,$118.33,$160.51,$160.51,$61.00,$61.00,$8.20,$31.46,$-42.04,$123.73,$5.33,$80.35,$80.35,$72.64,$-98.73,$-82.25,$-107.15,$5.47,$28.06,$72.53,$-15.71,$20.50,$28.50,$-36.27,$-46.22
  Span (min) (P9),,,,split_detail,,144.39,156.00,156.00,140.97,181.61,119.14,126.39,126.39,126.39,146.90,149.31,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,169.18,134.00,152.71,173.19,159.27,149.57,146.67,146.67,163.11,144.74,144.74,185.67,167.18,167.18,162.84,162.84,180.65,167.02,152.27,162.55,166.68,147.00,170.90,154.17,150.83,179.44,179.44,192.55,192.55,174.67,134.11,148.47,136.17,173.28,170.53,149.20,156.81,170.80,170.80,165.74,165.74,136.49,150.10,127.12,163.53,136.68,122.46,122.46,121.93,131.15,119.47,101.62,140.77,137.77,139.08,118.11,124.32,124.93,135.49,134.80
  Sortino (P11),,,,split_detail,,-2.7161,-1.7545,-1.7545,0.9736,8.3855,1.4018,-4.0041,-4.0041,-4.0041,-0.8110,-0.4112,1.7887,1.7887,1.7887,1.7887,1.7887,1.7887,1.7887,1.7887,1.2315,0.2113,-0.5068,-0.2471,-0.6943,-0.9349,-2.0914,-2.0914,-1.6590,-1.3660,-1.3660,10.8289,-0.7482,-0.7482,-1.7377,-1.7377,10.7408,-0.4769,-1.5023,-1.3212,1.0057,-1.2894,-0.4938,-1.6381,-0.2205,-2.0555,-2.0555,-1.9090,-1.9090,-0.9878,1.9909,-0.3399,1.0602,0.5284,0.5636,-1.7939,-0.8304,-1.1802,-1.1802,0.5502,0.5502,0.4679,-0.3311,2.7470,-0.1921,1.1238,2.8066,2.8066,2.5147,5.5762,-0.6803,1.5241,-2.0291,-0.0575,-0.2348,-0.5898,0.5433,0.8253,1.3363,-0.4624
