Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79
  Span (min) (P1),,,,split_detail,,6054.26,3718.27,4032.10,3627.15,3626.35,5692.26,3673.65,3627.42,3627.42,3627.42,3627.42,3629.90,3674.10,3674.10,3580.41,3824.43,3580.41,3582.34,3588.64,3581.46,3582.16,3411.67,3582.16,3452.86,3582.34,3584.18,3543.99,3370.29,3461.12,3496.07,2871.89,3329.23,3487.02,3292.01,3543.64,3453.19,3339.41,3301.10,3301.10,3296.11,3297.00,3301.10,3301.10,3301.10,3415.83,3301.10,3377.29,3300.78,3263.83,2374.16,64.61,2332.92,2493.81,62.75,62.75,2494.47,2227.63,72.41,2386.08,71.25,2311.94,2259.46,59.06,60.44,60.05,56.59,60.05,61.60,2137.44,58.97,1768.92,1789.29,63.58,63.58,59.48,1996.87,60.75,59.88,65.52,1971.07
  Sortino (P3),,,,split_detail,,1.6103,0.5434,2.3505,0.7478,0.7478,2.1117,1.1981,1.3256,1.3256,1.3256,1.3256,0.5944,1.6751,1.6751,0.7204,0.6505,0.4525,1.9079,0.5364,1.1070,1.0358,0.4166,0.6412,-0.6707,0.6084,0.3998,0.2243,-0.9611,-0.9206,0.3326,1.2268,3.3604,0.0866,-1.1832,-1.0701,-0.6552,-1.6895,-1.6895,-1.6895,-0.9128,-0.7928,-1.6895,-1.6895,-1.6895,-0.6947,-1.6895,-1.6895,-1.5232,-1.6322,1.0052,-4.1519,-3.8586,-2.9102,-2.5046,-2.5378,-2.9621,3.6074,-1.7981,-3.1374,-3.0108,-3.1374,0.3841,-3.6311,-2.6990,-2.9957,-2.5509,-2.9408,-3.6311,-1.2476,-3.2640,-0.8030,-0.8030,-3.3240,-3.3240,-3.1559,-3.2778,-3.3421,-3.1559,-3.4961,-3.2778
  Trades/D (P3),,,,split_detail,,0.262,0.360,0.341,0.372,0.372,0.293,0.360,0.372,0.372,0.372,0.372,0.372,0.360,0.360,0.390,0.360,0.396,0.366,0.366,0.372,0.372,0.378,0.390,0.402,0.372,0.372,0.378,0.384,0.384,0.396,0.500,0.402,0.409,0.415,0.396,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.415,0.421,0.421,0.421,0.433,0.524,0.482,0.695,0.634,0.488,0.500,0.634,0.726,0.512,0.640,0.591,0.640,0.591,0.598,0.579,0.579,0.476,0.579,0.598,0.585,0.591,0.750,0.750,0.585,0.585,0.591,0.707,0.604,0.591,0.628,0.707
  Profit Fac (P3),,,,split_detail,,1.1536,1.0496,1.2346,1.0687,1.0687,1.2252,1.1128,1.1265,1.1265,1.1265,1.1265,1.0594,1.1626,1.1626,1.0689,1.0660,1.0446,1.1824,1.0534,1.1085,1.1002,1.0363,1.0616,0.9337,1.0596,1.0391,1.0219,0.9240,0.9098,1.0322,1.1070,1.3030,1.0073,0.9080,0.8901,0.9325,0.8324,0.8324,0.8324,0.9090,0.9227,0.8324,0.8324,0.8324,0.9314,0.8324,0.8324,0.8461,0.8351,1.1018,0.5230,0.6667,0.7588,0.6950,0.6895,0.7552,1.4362,0.7861,0.7189,0.6454,0.7189,1.0375,0.5361,0.6602,0.6363,0.6822,0.6409,0.5361,0.8800,0.6102,0.9266,0.9266,0.6061,0.6061,0.6151,0.7096,0.5686,0.6151,0.5532,0.7096
  Max DD (P3),,,,split_detail,,"$3,419.50","$1,854.00","$2,119.00","$2,610.50","$2,610.50","$3,242.50","$2,610.50","$2,875.50","$2,875.50","$2,875.50","$2,875.50","$2,742.00","$2,875.50","$2,875.50","$2,875.50","$2,431.50","$2,551.00","$1,923.50","$2,022.50","$2,875.50","$2,875.50","$1,753.00","$1,753.00","$1,923.50","$2,546.50","$2,742.00","$2,022.50","$2,928.00","$3,062.50","$1,923.50","$2,999.00","$3,176.00","$2,577.00","$2,656.00","$3,873.50","$2,120.50","$2,901.50","$2,901.50","$2,901.50","$2,104.50","$2,299.50","$2,901.50","$2,901.50","$2,901.50","$2,548.00","$2,901.50","$2,901.50","$2,776.00","$2,966.50","$2,743.00","$8,368.00","$12,023.50","$10,128.00","$7,788.00","$7,918.00","$10,240.00","$2,151.00","$6,275.00","$10,460.50","$10,849.00","$10,460.50","$3,229.50","$12,796.00","$8,408.50","$9,179.00","$6,394.50","$9,017.50","$12,796.00","$3,210.00","$10,081.00","$5,920.00","$5,920.00","$11,200.00","$11,200.00","$9,947.00","$11,698.50","$12,038.50","$9,947.00","$12,852.00","$11,698.50"
  Total PNL (P3),,,,split_detail,,"$1,315.50",$450.00,"$1,946.00",$675.50,$675.50,"$1,911.50","$1,064.50","$1,208.50","$1,208.50","$1,208.50","$1,208.50",$589.00,"$1,505.50","$1,505.50",$683.00,$644.00,$459.00,"$1,552.50",$515.50,"$1,012.50",$943.00,$331.00,$606.50,$-694.50,$588.50,$393.50,$218.50,$-861.00,"$-1,048.50",$334.00,"$1,199.00","$2,657.00",$75.00,"$-1,000.00","$-1,387.50",$-768.50,"$-2,107.00","$-2,107.00","$-2,107.00","$-1,036.50",$-896.50,"$-2,107.00","$-2,107.00","$-2,107.00",$-774.00,"$-2,107.00","$-2,107.00","$-1,911.50","$-2,083.50","$1,198.50","$-7,993.00","$-8,985.00","$-5,813.00","$-4,976.00","$-5,106.00","$-5,925.00","$5,793.50","$-3,943.50","$-7,021.50","$-8,508.00","$-7,021.50",$514.50,"$-10,792.50","$-7,436.50","$-8,207.00","$-5,133.00","$-8,045.50","$-10,792.50","$-1,765.00","$-9,174.00","$-1,779.00","$-1,779.00","$-9,379.50","$-9,379.50","$-9,040.00","$-8,024.00","$-10,035.00","$-9,040.00","$-10,848.50","$-8,024.00"
  Avg Profit/Tr (P3),,,,split_detail,,$30.59,$7.63,$34.75,$11.07,$11.07,$39.82,$18.04,$19.81,$19.81,$19.81,$19.81,$9.66,$25.52,$25.52,$10.67,$10.92,$7.06,$25.88,$8.59,$16.60,$15.46,$5.34,$9.48,$-10.52,$9.65,$6.45,$3.52,$-13.67,$-16.64,$5.14,$14.62,$40.26,$1.12,$-14.71,$-21.35,$-11.14,$-30.54,$-30.54,$-30.54,$-15.02,$-12.99,$-30.54,$-30.54,$-30.54,$-11.38,$-30.54,$-30.54,$-27.70,$-29.35,$13.94,$-101.18,$-78.82,$-55.89,$-62.20,$-62.27,$-56.97,$48.68,$-46.95,$-66.87,$-87.71,$-66.87,$5.30,$-110.13,$-78.28,$-86.39,$-65.81,$-84.69,$-110.13,$-18.39,$-94.58,$-14.46,$-14.46,$-97.70,$-97.70,$-93.20,$-69.17,$-101.36,$-93.20,$-105.33,$-69.17
  Span (min) (P3),,,,split_detail,,97.67,70.24,79.88,69.89,69.89,95.08,71.42,80.56,80.56,80.56,80.56,78.95,78.19,78.19,78.20,85.54,77.65,71.63,75.48,76.77,78.15,64.02,68.80,73.18,79.07,79.64,77.90,75.67,78.78,71.51,72.22,73.08,77.84,70.41,80.23,75.07,77.20,77.20,77.20,73.25,76.80,77.20,77.20,77.20,75.35,77.20,77.20,76.59,77.00,61.13,55.28,86.33,90.73,58.16,57.01,90.87,60.82,61.02,94.87,63.73,94.87,50.95,50.40,55.93,55.46,49.50,55.58,50.40,57.39,55.00,72.56,72.56,59.70,59.70,55.68,79.96,50.78,55.68,52.44,79.96
  Sortino (P5),,,,split_detail,,-0.2769,1.3743,2.2626,1.6742,1.0151,-0.7930,1.9608,0.9055,0.9055,0.9055,0.9055,-0.0270,1.3905,1.3905,-0.0337,0.8006,-0.0337,1.5351,0.8666,0.3563,0.5028,0.8189,2.2908,0.2891,0.2813,0.0434,0.6007,2.3672,0.9760,2.2440,1.0770,0.5205,0.8104,1.2008,0.6856,0.1545,-0.0548,-0.0548,-0.0548,0.4052,0.4805,0.0943,0.0943,0.0943,0.0272,0.0943,0.0943,0.0272,0.0943,-1.0130,0.5084,2.5158,1.1766,0.2652,0.2652,1.1889,-0.6501,-0.4222,1.7708,0.6134,1.6385,-1.5343,1.1293,-0.2531,-0.4359,-0.3291,-0.4121,0.6979,-1.2070,-0.2713,0.8957,1.1257,-0.0616,-0.0616,-0.0691,1.3902,0.4554,-0.0805,0.3772,1.0634
  Trades/D (P5),,,,split_detail,,0.390,0.524,0.500,0.530,0.524,0.390,0.518,0.530,0.530,0.530,0.530,0.524,0.518,0.518,0.537,0.530,0.537,0.518,0.518,0.524,0.524,0.537,0.524,0.543,0.524,0.524,0.530,0.530,0.530,0.530,0.659,0.585,0.567,0.567,0.561,0.555,0.549,0.549,0.549,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.787,0.470,0.823,0.811,0.470,0.482,0.811,0.884,0.549,0.799,0.671,0.805,0.823,0.652,0.652,0.652,0.518,0.659,0.665,0.848,0.671,1.037,1.024,0.634,0.634,0.671,0.848,0.677,0.677,0.701,0.860
  Profit Fac (P5),,,,split_detail,,0.9690,1.1555,1.2627,1.1917,1.1149,0.9169,1.2288,1.1026,1.1026,1.1026,1.1026,0.9967,1.1614,1.1614,0.9963,1.0974,0.9963,1.1771,1.1089,1.0400,1.0565,1.0912,1.2704,1.0322,1.0315,1.0053,1.0736,1.2918,1.1184,1.2684,1.1258,1.0577,1.0978,1.1444,1.0851,1.0172,0.9935,0.9935,0.9935,1.0448,1.0531,1.0112,1.0112,1.0112,1.0032,1.0112,1.0112,1.0032,1.0112,0.8781,1.1002,1.2559,1.1165,1.0518,1.0521,1.1180,0.9193,0.9305,1.1866,1.1084,1.1733,0.8170,1.1935,0.9590,0.9294,0.9429,0.9347,1.1128,0.8393,0.9562,1.1019,1.1307,0.9894,0.9894,0.9885,1.1441,1.0714,0.9866,1.0583,1.1076
  Max DD (P5),,,,split_detail,,"$8,616.00","$8,154.00","$8,089.00","$8,154.00","$8,960.00","$10,836.00","$8,089.00","$8,738.00","$8,738.00","$8,738.00","$8,738.00","$11,136.50","$8,673.00","$8,673.00","$12,009.50","$9,319.00","$12,009.50","$8,673.00","$9,838.00","$10,338.50","$10,338.50","$9,027.50","$8,089.00","$10,808.50","$10,873.00","$11,136.50","$9,903.00","$8,021.00","$9,439.50","$8,194.50","$8,405.50","$14,026.00","$13,290.50","$12,455.50","$12,904.50","$11,127.00","$11,921.50","$11,921.50","$11,921.50","$10,406.00","$10,406.00","$11,921.50","$11,921.50","$11,921.50","$11,921.50","$11,921.50","$11,921.50","$11,921.50","$11,921.50","$14,106.50","$5,517.00","$5,260.00","$8,036.00","$6,017.00","$6,017.00","$8,036.00","$11,739.00","$5,703.50","$7,329.50","$6,649.00","$6,184.50","$15,691.50","$7,879.50","$8,096.00","$8,650.00","$7,011.50","$8,096.00","$9,358.50","$17,000.50","$8,096.00","$9,616.00","$9,616.00","$6,413.00","$6,413.00","$8,096.00","$8,437.00","$9,358.50","$8,096.00","$9,620.50","$8,903.50"
  Total PNL (P5),,,,split_detail,,$-704.00,"$4,626.00","$7,614.00","$5,701.00","$3,417.00","$-2,066.00","$6,598.00","$3,296.50","$3,296.50","$3,296.50","$3,296.50",$-108.00,"$4,924.50","$4,924.50",$-124.00,"$3,252.00",$-124.00,"$5,289.50","$3,480.50","$1,265.50","$1,786.00","$2,829.50","$7,799.00","$1,077.00","$1,012.50",$173.50,"$2,430.50","$7,972.50","$3,989.50","$7,888.50","$4,495.50","$1,936.50","$3,059.00","$4,254.00","$2,897.50",$596.00,$-227.50,$-227.50,$-227.50,"$1,514.50","$1,796.00",$395.50,$395.50,$395.50,$114.00,$395.50,$395.50,$114.00,$395.50,"$-5,119.50","$2,338.50","$11,688.50","$5,737.50","$1,263.50","$1,274.50","$5,801.50","$-2,870.00","$-2,078.00","$8,945.00","$3,582.00","$8,403.00","$-7,473.00","$6,691.50","$-1,379.00","$-2,449.50","$-1,537.50","$-2,252.00","$4,183.00","$-7,196.50","$-1,510.00","$6,435.50","$8,043.50",$-341.50,$-341.50,$-383.50,"$7,043.50","$2,751.00",$-448.50,"$2,339.50","$5,435.50"
  Avg Profit/Tr (P5),,,,split_detail,,$-11.00,$53.79,$92.85,$65.53,$39.73,$-32.28,$77.62,$37.89,$37.89,$37.89,$37.89,$-1.26,$57.94,$57.94,$-1.41,$37.38,$-1.41,$62.23,$40.95,$14.72,$20.77,$32.15,$90.69,$12.10,$11.77,$2.02,$27.94,$91.64,$45.86,$90.67,$41.63,$20.17,$32.89,$45.74,$31.49,$6.55,$-2.53,$-2.53,$-2.53,$16.64,$19.74,$4.35,$4.35,$4.35,$1.25,$4.35,$4.35,$1.25,$4.35,$-39.69,$30.37,$86.58,$43.14,$16.41,$16.13,$43.62,$-19.79,$-23.09,$68.28,$32.56,$63.66,$-55.36,$62.54,$-12.89,$-22.89,$-18.09,$-20.85,$38.38,$-51.77,$-13.73,$37.86,$47.88,$-3.28,$-3.28,$-3.49,$50.67,$24.78,$-4.04,$20.34,$38.55
  Span (min) (P5),,,,split_detail,,61.58,62.43,64.45,60.43,60.23,62.89,60.94,60.99,60.99,60.99,60.99,61.86,61.27,61.27,60.14,64.85,60.14,60.94,63.49,60.56,60.80,60.14,61.37,60.56,60.80,62.02,62.84,61.23,66.54,61.79,61.31,61.18,57.58,56.90,70.76,60.85,63.08,63.08,63.08,60.92,61.08,62.92,62.92,62.92,62.77,62.92,62.92,62.77,62.92,50.57,69.57,69.48,69.74,72.86,67.25,69.89,44.56,72.72,75.13,72.40,74.61,42.88,71.45,61.68,61.37,64.58,62.33,71.45,49.15,63.00,64.24,63.71,65.26,65.26,63.30,69.09,71.45,62.83,71.17,69.65
  Sortino (P7),,,,split_detail,,-0.3206,2.9203,3.0396,2.9203,2.9203,0.3430,2.8722,3.2846,3.2846,3.2846,3.2846,3.5922,4.1572,4.1572,2.3322,2.7828,2.3322,2.6873,1.6813,4.1096,3.6387,1.8205,1.1482,1.1061,3.5330,3.3189,1.7022,0.7448,1.0858,1.1492,-1.2089,-1.2882,-0.9683,-0.0905,0.0637,0.6358,2.1615,2.0864,2.0864,2.2877,1.9156,1.4770,1.4770,1.4770,1.8412,1.3828,1.4770,1.8717,1.4195,-1.3754,4.1312,-3.6764,-3.9936,3.1705,3.0175,-4.0209,-1.8071,6.8833,-4.9945,5.1478,-4.8774,-0.2433,1.6286,2.8188,2.8404,5.7470,2.3234,2.0787,-1.0691,2.4885,-1.9226,-1.6893,1.0075,1.0075,2.5517,-3.7369,2.0787,2.5517,2.1321,-3.9493
  Trades/D (P7),,,,split_detail,,0.305,0.372,0.354,0.372,0.372,0.305,0.354,0.372,0.372,0.372,0.372,0.378,0.360,0.360,0.390,0.372,0.390,0.378,0.384,0.378,0.378,0.415,0.390,0.421,0.378,0.378,0.384,0.409,0.402,0.390,0.561,0.427,0.463,0.445,0.415,0.427,0.421,0.427,0.427,0.433,0.433,0.433,0.433,0.433,0.433,0.439,0.433,0.439,0.445,0.671,0.445,0.829,0.774,0.451,0.457,0.774,0.787,0.482,0.774,0.555,0.799,0.720,0.567,0.537,0.537,0.433,0.543,0.591,0.701,0.555,0.909,0.902,0.573,0.573,0.555,0.860,0.591,0.555,0.604,0.866
  Profit Fac (P7),,,,split_detail,,0.9754,1.2660,1.2792,1.2660,1.2660,1.0301,1.2638,1.3130,1.3130,1.3130,1.3130,1.3437,1.4071,1.4071,1.2219,1.2620,1.2219,1.2579,1.1586,1.3981,1.3525,1.1697,1.1005,1.1041,1.3422,1.3149,1.1613,1.0652,1.0979,1.1038,0.8900,0.8929,0.9210,0.9926,1.0059,1.0581,1.2021,1.1962,1.1962,1.2130,1.1783,1.1354,1.1354,1.1354,1.1687,1.1268,1.1354,1.1740,1.1320,0.8601,1.5471,0.7405,0.7139,1.4930,1.4601,0.7131,0.8319,2.0044,0.6323,1.7628,0.6354,0.9743,1.2498,1.3720,1.3520,1.8533,1.3104,1.3148,0.8914,1.3400,0.8310,0.8498,1.1462,1.1462,1.3480,0.7060,1.3148,1.3480,1.3261,0.6930
  Max DD (P7),,,,split_detail,,"$3,773.00","$1,877.00","$1,877.00","$1,877.00","$1,877.00","$3,643.00","$2,472.50","$1,877.00","$1,877.00","$1,877.00","$1,877.00","$2,303.50","$1,877.00","$1,877.00","$2,324.50","$2,303.50","$2,324.50","$2,351.50","$2,392.50","$1,877.00","$1,877.00","$2,248.50","$2,102.00","$2,684.00","$1,877.00","$2,097.00","$2,392.50","$3,145.00","$3,067.50","$2,351.50","$5,432.50","$5,715.50","$4,979.00","$3,526.50","$4,228.50","$3,136.00","$2,820.00","$2,820.00","$2,820.00","$2,977.00","$2,977.00","$3,527.00","$3,527.00","$3,527.00","$3,527.00","$3,527.00","$3,527.00","$3,454.50","$3,454.50","$7,366.00","$2,332.50","$11,313.00","$12,192.00","$2,241.50","$2,241.50","$12,137.00","$10,219.00","$2,343.00","$14,971.00","$3,312.50","$15,244.00","$5,523.50","$3,263.50","$3,312.50","$3,353.50","$1,910.50","$3,353.50","$3,263.50","$8,223.00","$3,353.50","$8,068.00","$7,394.50","$3,713.00","$3,713.00","$3,276.00","$13,032.50","$3,263.50","$3,276.00","$3,263.50","$13,706.00"
  Total PNL (P7),,,,split_detail,,$-303.00,"$2,819.00","$2,832.00","$2,819.00","$2,819.00",$355.00,"$2,676.00","$3,287.00","$3,287.00","$3,287.00","$3,287.00","$3,755.00","$3,989.00","$3,989.00","$2,438.50","$2,862.00","$2,438.50","$2,955.50","$1,893.50","$4,180.00","$3,701.00","$2,062.50","$1,229.00","$1,320.50","$3,593.50","$3,375.00","$1,920.50",$845.00,"$1,279.50","$1,265.50","$-2,009.00","$-1,650.50","$-1,282.00",$-112.00,$79.00,$769.50,"$2,653.50","$2,588.50","$2,588.50","$2,852.50","$2,388.50","$1,881.50","$1,881.50","$1,881.50","$2,345.50","$1,776.00","$1,881.50","$2,418.00","$1,848.50","$-2,827.00","$4,717.00","$-9,106.50","$-9,859.50","$4,410.00","$4,208.50","$-9,899.50","$-4,307.50","$10,050.50","$-13,282.50","$9,256.50","$-13,593.00",$-518.50,"$3,384.00","$4,810.00","$4,619.00","$6,873.00","$4,026.50","$4,557.50","$-2,407.00","$4,409.50","$-5,148.00","$-4,474.50","$2,186.50","$2,186.50","$4,487.00","$-10,562.50","$4,557.50","$4,487.00","$4,741.00","$-11,236.00"
  Avg Profit/Tr (P7),,,,split_detail,,$-6.06,$46.21,$48.83,$46.21,$46.21,$7.10,$46.14,$53.89,$53.89,$53.89,$53.89,$60.56,$67.61,$67.61,$38.10,$46.92,$38.10,$47.67,$30.06,$67.42,$59.69,$30.33,$19.20,$19.14,$57.96,$54.44,$30.48,$12.61,$19.39,$19.77,$-21.84,$-23.58,$-16.87,$-1.53,$1.16,$10.99,$38.46,$36.98,$36.98,$40.18,$33.64,$26.50,$26.50,$26.50,$33.04,$24.67,$26.50,$33.58,$25.32,$-25.70,$64.62,$-66.96,$-77.63,$59.59,$56.11,$-77.95,$-33.39,$127.22,$-104.59,$101.72,$-103.76,$-4.39,$36.39,$54.66,$52.49,$96.80,$45.24,$46.98,$-20.93,$48.46,$-34.55,$-30.23,$23.26,$23.26,$49.31,$-74.91,$46.98,$49.31,$47.89,$-79.13
  Span (min) (P7),,,,split_detail,,94.36,75.05,77.24,75.05,75.05,89.60,76.28,78.49,78.49,78.49,78.49,78.92,79.97,79.97,75.58,79.75,75.58,77.79,78.78,77.68,78.24,72.78,73.72,75.99,78.02,79.15,78.33,76.06,83.05,74.48,70.68,71.10,81.24,77.96,76.38,75.40,82.48,81.90,81.90,79.76,80.15,81.54,81.54,81.54,81.14,81.18,81.54,82.35,82.37,62.55,48.67,81.01,83.17,49.50,49.72,83.50,58.17,63.77,85.82,61.53,85.12,55.82,48.38,54.88,54.38,51.28,53.39,49.44,64.28,53.79,66.81,66.69,54.18,54.18,54.15,79.68,49.44,53.43,51.33,79.71
  Sortino (P9),,,,split_detail,,3.6990,-2.2639,-1.6680,-2.2695,-2.2639,3.6620,-1.4399,-1.5825,-1.5825,-1.5825,-1.5825,0.0884,-0.8141,-0.8141,-2.0196,-0.1915,-2.0196,-1.1564,1.3347,-2.3323,-2.3323,-2.5896,-2.3002,-1.7517,-2.2206,-0.6683,0.1989,-0.5547,1.7629,-2.0455,-1.0415,-1.6160,0.3874,-0.4513,-0.5817,-2.2734,1.1976,0.5735,0.5735,-1.6218,-1.3675,0.5818,0.5818,0.5818,-1.5514,0.5397,-1.5514,0.3577,-0.0210,-1.6899,4.4880,0.3786,-0.7094,4.3731,3.8964,-0.6618,-4.7266,2.6703,-1.0730,0.9450,-0.2989,-1.1454,2.2097,1.6805,1.6631,3.4191,1.6914,0.9546,-2.0065,1.0387,-0.6687,-1.6761,1.2831,1.2831,0.9390,-0.4237,0.9290,0.4706,0.9037,-0.1703
  Trades/D (P9),,,,split_detail,,0.311,0.451,0.421,0.451,0.451,0.335,0.439,0.451,0.451,0.451,0.451,0.451,0.445,0.445,0.463,0.451,0.463,0.463,0.457,0.457,0.457,0.482,0.476,0.482,0.463,0.463,0.463,0.470,0.457,0.476,0.585,0.470,0.476,0.488,0.482,0.488,0.500,0.506,0.506,0.512,0.518,0.512,0.512,0.512,0.494,0.518,0.494,0.518,0.530,0.713,0.524,0.713,0.689,0.524,0.543,0.689,0.750,0.530,0.713,0.598,0.732,0.713,0.573,0.579,0.579,0.506,0.579,0.604,0.793,0.591,0.945,0.927,0.628,0.628,0.591,0.829,0.610,0.604,0.616,0.841
  Profit Fac (P9),,,,split_detail,,1.3550,0.7678,0.8098,0.7624,0.7678,1.3507,0.8476,0.8205,0.8205,0.8205,0.8205,1.0085,0.9040,0.9040,0.7759,0.9813,0.7759,0.8738,1.1371,0.7522,0.7522,0.7373,0.7732,0.8080,0.7546,0.9364,1.0197,0.9446,1.1760,0.7924,0.8832,0.8061,1.0453,0.9517,0.9420,0.7669,1.1201,1.0567,1.0567,0.8313,0.8525,1.0582,1.0582,1.0582,0.8504,1.0542,0.8504,1.0359,0.9978,0.7940,1.5305,1.0368,0.9280,1.5180,1.4555,0.9313,0.5024,1.3257,0.8965,1.1048,0.9704,0.8542,1.2835,1.1949,1.1925,1.4140,1.1961,1.1179,0.7647,1.1162,0.9319,0.8325,1.1426,1.1426,1.1049,0.9575,1.1151,1.0520,1.1123,0.9827
  Max DD (P9),,,,split_detail,,"$3,604.00","$5,802.00","$5,204.50","$5,802.00","$5,802.00","$4,113.50","$5,659.00","$5,307.00","$5,307.00","$5,307.00","$5,307.00","$4,981.00","$5,229.00","$5,229.00","$5,068.50","$4,981.00","$5,068.50","$4,653.00","$3,942.00","$5,844.00","$5,844.00","$6,198.00","$6,067.00","$5,160.50","$5,409.50","$4,981.00","$5,179.50","$4,646.00","$4,258.00","$6,067.00","$4,896.00","$3,896.00","$3,714.50","$4,506.00","$4,699.50","$5,904.00","$4,085.00","$4,085.00","$4,085.00","$4,686.00","$4,531.50","$4,085.00","$4,085.00","$4,085.00","$6,410.50","$4,150.00","$6,410.50","$4,085.00","$5,155.00","$6,848.50","$7,853.50","$6,095.00","$6,751.00","$7,853.50","$8,627.50","$6,597.00","$14,559.00","$10,378.50","$10,462.00","$13,229.50","$8,384.50","$7,280.00","$11,711.00","$10,664.00","$10,664.00","$7,183.00","$10,664.00","$13,564.50","$7,173.50","$10,664.00","$9,879.50","$13,452.50","$13,256.00","$13,256.00","$10,664.00","$7,282.00","$13,564.50","$11,537.50","$13,629.50","$6,816.50"
  Total PNL (P9),,,,split_detail,,"$3,327.00","$-3,723.00","$-2,693.00","$-3,844.50","$-3,723.00","$3,501.50","$-2,347.50","$-2,701.00","$-2,701.00","$-2,701.00","$-2,701.00",$111.50,"$-1,390.50","$-1,390.50","$-3,571.00",$-253.00,"$-3,571.00","$-2,061.50","$2,020.50","$-4,068.50","$-4,068.50","$-4,700.50","$-4,174.00","$-3,216.00","$-3,912.00",$-878.50,$301.50,"$-1,000.00","$2,602.50","$-3,736.00","$-2,273.50","$-2,985.50",$704.50,$-823.50,"$-1,001.50","$-4,133.00","$1,948.50",$974.50,$974.50,"$-3,188.50","$-2,716.50","$1,000.50","$1,000.50","$1,000.50","$-2,572.50",$935.50,"$-2,572.50",$620.00,$-40.50,"$-4,471.00","$10,804.50","$1,101.50","$-2,096.50","$10,636.00","$9,862.00","$-1,994.00","$-14,557.00","$7,197.00","$-3,229.00","$2,926.50",$-936.50,"$-2,893.50","$6,423.50","$4,817.00","$4,767.50","$8,057.00","$4,843.50","$3,024.00","$-5,867.50","$3,076.00","$-2,451.00","$-6,024.00","$4,169.00","$4,169.00","$2,805.00","$-1,463.00","$2,959.00","$1,419.00","$2,894.00",$-596.50
  Avg Profit/Tr (P9),,,,split_detail,,$65.24,$-50.31,$-39.03,$-51.95,$-50.31,$63.66,$-32.60,$-36.50,$-36.50,$-36.50,$-36.50,$1.51,$-19.05,$-19.05,$-46.99,$-3.42,$-46.99,$-27.12,$26.94,$-54.25,$-54.25,$-59.50,$-53.51,$-40.71,$-51.47,$-11.56,$3.97,$-12.99,$34.70,$-47.90,$-23.68,$-38.77,$9.03,$-10.29,$-12.68,$-51.66,$23.76,$11.74,$11.74,$-37.96,$-31.96,$11.91,$11.91,$11.91,$-31.76,$11.01,$-31.76,$7.29,$-0.47,$-38.21,$125.63,$9.41,$-18.55,$123.67,$110.81,$-17.65,$-118.35,$82.72,$-27.60,$29.86,$-7.80,$-24.73,$68.34,$50.71,$50.18,$97.07,$50.98,$30.55,$-45.13,$31.71,$-15.81,$-39.63,$40.48,$40.48,$28.92,$-10.76,$29.59,$14.33,$28.65,$-4.32
  Span (min) (P9),,,,split_detail,,70.96,53.16,58.03,53.92,53.16,78.65,54.93,56.00,56.00,56.00,56.00,61.20,57.15,57.15,57.20,61.39,57.20,57.84,67.57,57.12,57.31,54.58,56.27,56.27,57.47,62.63,67.51,56.36,64.49,56.81,52.94,47.91,60.49,57.92,61.67,57.14,65.90,66.12,66.12,57.58,58.14,65.83,65.83,65.83,61.62,65.14,61.70,64.73,64.29,48.34,65.36,69.22,68.58,66.13,62.66,70.25,46.21,66.38,74.97,66.11,73.67,42.72,66.23,57.32,56.62,56.06,57.20,66.67,49.27,58.63,60.52,58.21,64.18,64.18,58.86,69.28,66.11,57.67,65.56,70.76
