Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88,Solution_89,Solution_90,Solution_91,Solution_92
Fitness[5] norm PPT obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.944894,1.000000,1.000000,0.681696,0.663002,0.672808,0.628468,0.597543,0.599710,0.588524,0.536654,0.693626,0.718177,0.663115,0.654211,0.468834,0.645202,0.634596,0.633737,0.633513,0.611419,0.605755,0.598750,0.674906,0.601877,0.559527,0.562577,0.655346,0.527008,0.532800,0.518056,0.368005,0.503285,0.475170,0.555254,0.411357,0.426877,0.451880,0.427444,0.335234,0.292779,0.378128,0.293539,0.373829,0.301537,0.318376,0.241374,0.245238,0.252692,0.301576,0.264880,0.257700,0.248735,0.245691,0.190362,0.229090,0.165838,0.067663
--- ROBUSTNESS EVALUATION ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregate IS Sortino,,,,robustness,,7.2920,6.9452,6.9250,6.8955,6.8385,6.7225,6.0498,6.0219,5.8189,5.7264,5.6864,5.6244,5.5728,5.5109,4.9309,3.8643,3.7931,3.6265,3.5942,3.5942,3.5875,3.5238,3.5101,3.4021,3.3053,3.3043,3.2608,3.2362,3.2094,3.0788,3.0588,3.0588,3.0432,3.0022,2.8484,2.7854,2.6468,2.5647,2.4421,2.3251,2.2792,2.2123,2.1118,2.1105,2.0782,1.8945,1.7653,1.7368,1.6883,1.6720,1.6420,1.6407,1.6306,1.6264,1.6259,1.5726,1.5696,1.5409,1.4820,1.4631,1.4414,1.4175,1.3796,1.3635,1.3547,1.3002,1.2936,1.2843,1.2312,1.2205,1.2035,1.1899,1.1678,1.0943,1.0905,0.9921,0.9832,0.9564,0.9502,0.8942,0.8656,0.8582,0.7727,0.7713,0.7711,0.7528,0.7362,0.7065,0.7019,0.6609,0.5543,0.5364,0.1688
Aggregate OOS Sortino,,,,robustness,,0.8788,1.4429,1.7761,-0.0116,0.9063,1.4001,1.2263,0.0406,1.5029,0.5425,-0.9764,0.5009,0.5265,1.2201,0.4093,-0.6235,1.0699,-1.0827,-0.7560,-0.7560,1.1125,1.1954,0.6276,0.8117,-0.0801,0.5876,-0.1388,0.9530,0.5790,-0.1191,0.4388,0.4670,0.7023,0.5911,0.5933,0.9131,-0.2705,-0.1121,-1.4377,-1.4074,-1.5367,-1.1893,-1.1963,-1.3115,-1.3193,-1.3498,0.9931,-1.6616,0.9963,0.6634,-1.4918,1.1198,0.8457,0.8555,0.8683,0.6053,0.6359,0.5448,0.1023,-0.0195,0.3711,0.9008,0.0939,0.5288,0.3906,1.1983,-1.7676,0.2822,0.3617,-0.1157,-0.3729,-0.8998,1.2608,0.5435,-1.0126,-1.2130,-1.4979,-0.9418,0.5344,-1.1534,-0.3395,-1.9703,-0.1748,-1.3480,1.0253,-1.1419,-1.2121,-1.1265,-1.1744,-0.4041,-0.8521,-0.5156,-0.7918
Sortino IS-to-OOS Degradation,,,,robustness,,87.95%,79.23%,74.35%,100.17%,86.75%,79.17%,79.73%,99.33%,74.17%,90.53%,117.17%,91.09%,90.55%,77.86%,91.70%,116.13%,71.79%,129.86%,121.03%,121.03%,68.99%,66.08%,82.12%,76.14%,102.42%,82.22%,104.26%,70.55%,81.96%,103.87%,85.65%,84.73%,76.92%,80.31%,79.17%,67.22%,110.22%,104.37%,158.87%,160.53%,167.42%,153.76%,156.65%,162.14%,163.48%,171.25%,43.74%,195.67%,40.99%,60.33%,190.85%,31.75%,48.14%,47.40%,46.59%,61.51%,59.49%,64.64%,93.10%,101.33%,74.25%,36.45%,93.19%,61.22%,71.17%,7.84%,236.64%,78.03%,70.63%,109.48%,130.99%,175.62%,-7.96%,50.34%,192.86%,222.27%,252.35%,198.47%,43.76%,228.98%,139.22%,329.57%,122.62%,274.76%,-32.96%,251.69%,264.63%,259.46%,267.31%,161.15%,253.74%,196.13%,568.93%
Positive OOS Splits,,,,robustness,,3/5,4/5,5/5,2/5,4/5,4/5,4/5,3/5,4/5,3/5,2/5,3/5,3/5,3/5,3/5,2/5,3/5,1/5,2/5,2/5,3/5,3/5,2/5,3/5,1/5,3/5,2/5,3/5,3/5,2/5,3/5,3/5,3/5,2/5,3/5,4/5,2/5,2/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,3/5,1/5,3/5,3/5,1/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,2/5,3/5,2/5,3/5,3/5,3/5,2/5,3/5,1/5,2/5,3/5,2/5,2/5,1/5,3/5,3/5,1/5,1/5,0/5,1/5,3/5,1/5,3/5,1/5,2/5,1/5,3/5,1/5,1/5,1/5,1/5,3/5,1/5,1/5,1/5
Live-Ready Robustness Score,,,,robustness,,33.4,47.7,59.3,16.0,41.9,47.4,45.9,24.5,49.2,30.2,16.0,29.8,30.1,38.2,28.9,16.0,38.2,8.0,16.0,16.0,39.1,40.3,24.6,35.3,8.0,32.3,16.0,37.5,32.2,16.0,30.4,30.8,34.2,24.7,32.9,45.9,16.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,43.2,8.0,43.8,37.2,8.0,46.6,41.1,41.4,41.6,36.5,37.2,35.4,18.2,24.0,24.1,43.9,26.1,36.0,24.9,52.0,8.0,22.7,32.8,16.0,16.0,8.0,54.1,38.3,8.0,8.0,0.0,8.0,39.5,8.0,24.0,8.0,16.0,8.0,52.2,8.0,8.0,8.0,8.0,24.0,8.0,8.0,8.0
--- PER-SPLIT DETAIL (In-Sample) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Sortino (P1),,,,split_detail,,27.1635,19.3414,27.5275,15.7524,35.0779,21.9405,18.3520,11.2740,16.9904,19.8265,18.2302,23.1075,19.8265,10.0851,9.7891,21.3584,11.7540,14.3526,19.4676,19.4676,12.3986,12.0685,12.6672,13.0564,10.5951,11.8415,8.6097,8.8600,10.2412,4.9780,10.4016,10.4016,8.7959,9.3481,8.5701,1.7165,5.0420,4.5718,8.4061,7.9589,8.4035,7.5878,7.4848,7.4168,7.4168,7.1643,1.8761,4.0976,2.0696,2.0473,8.0786,2.0696,2.0937,2.2152,2.2152,2.2361,2.8174,2.3024,5.6462,5.6075,2.2361,2.0762,4.2345,2.1405,2.7765,2.0762,8.1041,2.5445,2.1405,5.6224,7.2682,5.3810,2.8385,2.2608,4.7637,7.3162,5.4452,4.8201,1.5453,5.3926,0.8451,8.0955,4.8319,5.3636,1.2537,5.3025,5.4488,5.2859,5.0961,5.1051,4.2203,0.1057,-0.3655
  Trades/D (P1),,,,split_detail,,0.343,0.380,0.337,0.355,0.337,0.349,0.367,0.434,0.386,0.392,0.392,0.373,0.392,0.410,0.464,0.416,0.578,0.446,0.416,0.416,0.554,0.590,0.614,0.602,0.735,0.596,0.705,0.560,0.651,0.765,0.663,0.663,0.627,0.681,0.705,0.380,0.771,0.741,0.807,0.813,0.807,0.831,0.892,0.898,0.898,0.904,0.596,0.795,0.590,0.602,0.952,0.590,0.620,0.608,0.608,0.614,0.729,0.614,0.837,0.855,0.614,0.596,0.795,0.663,0.633,0.596,1.060,0.627,0.663,0.843,0.946,0.970,0.675,0.669,1.096,1.133,1.042,1.036,0.681,0.982,0.777,1.060,1.253,0.988,0.723,1.018,1.018,1.018,1.018,1.343,0.807,0.801,0.880
  Profit Fac (P1),,,,split_detail,,4.0340,3.1175,4.5356,2.5845,4.6562,4.1943,3.3087,2.4793,3.2397,3.5221,3.0951,3.5186,3.5221,2.4619,2.2422,3.3063,2.2392,3.4010,3.2433,3.2433,2.3383,2.3038,2.4890,2.5335,2.4039,2.2547,2.4031,2.3314,2.1266,1.6790,2.1615,2.1615,2.3642,1.9997,1.9127,1.2142,1.7963,1.6901,2.0006,1.9429,1.9634,1.8788,1.8557,1.8448,1.8448,1.8021,1.1977,1.5358,1.2205,1.2192,1.6971,1.2205,1.2292,1.2395,1.2395,1.2442,1.3373,1.2511,1.8606,2.0168,1.2442,1.2235,1.7668,1.2429,1.3121,1.2235,1.6945,1.2830,1.2429,1.8631,1.9377,1.6797,1.3119,1.2575,1.4583,1.6407,1.6859,1.4720,1.1730,1.6618,1.1170,1.7144,1.4113,1.6477,1.1357,1.6490,1.6703,1.6461,1.6238,1.4184,1.5773,1.0106,0.9490
  Max DD (P1),,,,split_detail,,"$4,793.00","$8,614.50","$5,207.50","$7,821.00","$2,980.00","$4,374.00","$4,927.00","$7,156.50","$5,322.00","$4,204.00","$4,530.00","$5,697.00","$4,204.00","$6,458.50","$6,915.50","$5,115.00","$9,746.00","$5,639.00","$5,496.50","$5,496.50","$9,736.00","$8,639.50","$8,639.50","$8,639.50","$11,159.50","$9,746.00","$9,574.50","$9,642.00","$12,376.00","$18,453.00","$11,269.50","$11,269.50","$9,470.50","$14,472.00","$13,365.50","$5,323.50","$20,914.50","$21,612.50","$11,571.50","$12,962.00","$10,682.50","$13,507.00","$14,557.00","$14,557.00","$14,557.00","$15,891.00","$9,746.00","$20,861.50","$8,639.50","$9,746.00","$12,943.00","$8,639.50","$8,639.50","$8,639.50","$8,639.50","$8,639.50","$9,405.50","$8,639.50","$19,989.00","$13,622.50","$8,639.50","$8,639.50","$19,951.00","$11,269.50","$8,639.50","$8,639.50","$8,290.50","$8,639.50","$11,269.50","$19,989.00","$6,108.00","$22,565.50","$8,639.50","$11,269.50","$22,272.00","$10,249.00","$16,727.00","$23,588.50","$11,269.50","$21,258.00","$10,496.00","$8,685.50","$13,875.50","$20,740.50","$13,365.50","$22,184.00","$22,184.00","$22,184.00","$22,184.00","$15,309.50","$15,885.00","$20,344.50","$17,438.00"
  Total PNL (P1),,,,split_detail,,"$44,070.00","$45,943.50","$51,647.00","$38,362.00","$50,055.00","$50,722.00","$47,175.50","$39,907.50","$46,444.00","$47,613.00","$44,890.00","$49,413.50","$47,613.00","$38,870.00","$36,113.50","$45,287.00","$46,110.00","$50,116.50","$44,905.50","$44,905.50","$47,071.00","$48,390.00","$53,098.50","$53,874.50","$58,505.50","$47,283.00","$59,060.50","$47,924.50","$47,566.50","$35,792.00","$49,153.00","$49,153.00","$51,588.50","$46,741.50","$44,100.50","$4,511.00","$45,080.00","$40,257.00","$46,802.50","$45,412.00","$47,324.00","$43,924.00","$45,179.50","$44,869.50","$44,869.50","$43,535.50","$7,475.00","$32,588.00","$8,213.50","$8,244.00","$42,939.00","$8,213.50","$8,725.50","$9,009.50","$9,009.50","$9,184.50","$14,366.00","$9,475.50","$47,191.50","$55,934.50","$9,184.50","$8,323.50","$44,606.50","$10,135.00","$11,739.50","$8,323.50","$44,460.00","$10,677.50","$10,135.00","$47,330.50","$53,188.00","$45,295.50","$12,610.00","$10,794.00","$35,276.50","$46,520.00","$50,130.00","$34,393.00","$7,667.00","$44,300.50","$6,873.00","$45,203.00","$36,572.50","$43,029.50","$6,585.50","$45,481.00","$46,596.00","$45,356.50","$43,710.50","$36,813.00","$34,847.00",$607.50,"$-3,525.50"
  Avg Profit/Tr (P1),,,,split_detail,,$773.16,$729.26,$922.27,$650.20,$893.84,$874.52,$773.37,$554.27,$725.69,$732.51,$690.62,$796.99,$732.51,$571.62,$469.01,$656.33,$480.31,$677.25,$650.80,$650.80,$511.64,$493.78,$520.57,$538.74,$479.55,$477.61,$504.79,$515.32,$440.43,$281.83,$446.85,$446.85,$496.04,$413.64,$376.93,$71.60,$352.19,$327.29,$349.27,$336.39,$353.16,$318.29,$305.27,$301.14,$301.14,$290.24,$75.51,$246.88,$83.81,$82.44,$271.77,$83.81,$84.71,$89.20,$89.20,$90.04,$118.73,$92.90,$339.51,$393.90,$90.04,$84.08,$337.93,$92.14,$111.80,$84.08,$252.61,$102.67,$92.14,$338.08,$338.78,$281.34,$112.59,$97.24,$193.83,$247.45,$289.77,$199.96,$67.85,$271.78,$53.28,$256.84,$175.83,$262.37,$54.88,$269.12,$275.72,$268.38,$258.64,$165.08,$260.05,$4.57,$-24.15
  Span (min) (P1),,,,split_detail,,5054.49,4600.22,5158.75,4897.86,5166.43,4994.86,4751.74,4037.64,4534.47,4482.23,4462.71,4680.29,4482.23,4281.32,3786.91,4197.22,3079.27,3921.73,4197.74,4197.74,3201.59,3016.86,2908.02,2967.72,2450.80,2993.74,2558.77,3188.99,2754.63,2355.46,2706.84,2706.84,2868.79,2644.64,2551.47,143.56,2337.78,2428.60,2240.31,2225.07,2245.54,2178.52,2036.43,2023.33,2023.33,2009.00,158.53,2275.74,153.00,157.50,1887.78,153.00,154.00,155.39,155.39,154.69,152.15,156.47,2165.01,2119.92,154.69,153.58,2275.20,154.13,156.00,153.58,1706.17,156.69,154.13,2150.48,1917.11,1872.37,157.25,156.52,1654.62,1601.14,1762.89,1746.01,153.38,1843.44,114.42,1704.34,1452.77,1828.46,152.60,1785.94,1784.38,1786.15,1784.95,1363.02,2217.22,123.89,120.90
  Sortino (P3),,,,split_detail,,0.3139,5.0218,2.2143,11.5532,-2.4012,1.5680,0.2615,6.2423,1.6048,2.6552,0.7873,5.3659,2.7801,3.1998,2.5970,0.0317,-1.1426,2.2915,-0.3963,-0.3963,-1.6497,-1.1236,-2.3712,-2.4732,-2.0993,-2.1564,-2.6833,-0.0139,-2.7151,0.5113,-3.1107,-3.1107,-1.3862,-3.0793,-3.0347,1.5483,-0.2958,-0.2449,-3.3108,-3.0025,-3.7001,-2.9608,-2.5609,-2.5609,-2.7397,-2.7274,-1.5723,-5.3271,-1.1830,-1.3707,-4.9166,-0.7852,-1.4104,-1.3707,-2.1974,-1.3694,-1.0288,-1.3694,-0.1447,-0.5652,-1.7616,-1.1830,-0.6496,-2.5362,-0.7965,-1.0693,-4.1565,-1.7616,-2.9190,-0.3576,-4.3915,-1.3917,-2.1493,-2.0861,-2.9213,-2.5166,-1.8412,-4.4128,-2.1347,-2.0997,-0.3163,-4.7031,-4.0557,-2.4037,-2.5273,-1.8513,-1.9935,-1.8513,-2.0759,-2.8513,-5.0641,-5.1388,-2.5644
  Trades/D (P3),,,,split_detail,,0.372,0.378,0.323,0.305,0.384,0.329,0.366,0.415,0.390,0.421,0.427,0.396,0.427,0.433,0.421,0.415,0.659,0.476,0.415,0.415,0.616,0.659,0.677,0.665,0.787,0.665,0.732,0.616,0.713,0.787,0.726,0.726,0.677,0.774,0.768,0.384,0.841,0.774,0.884,0.878,0.878,0.902,0.976,0.976,0.982,0.982,0.671,0.957,0.659,0.671,1.061,0.659,0.683,0.671,0.671,0.683,0.823,0.683,0.872,0.970,0.683,0.659,0.933,0.720,0.701,0.665,1.238,0.683,0.720,0.890,1.043,0.951,0.732,0.738,1.128,1.207,1.037,1.079,0.732,0.994,0.835,1.256,1.335,1.012,0.780,0.994,0.994,0.994,1.000,1.348,0.909,0.884,0.927
  Profit Fac (P3),,,,split_detail,,1.0206,1.4593,1.2481,2.2007,0.7971,1.1280,1.0200,2.0977,1.1209,1.2546,1.0832,1.5900,1.2705,1.4623,1.2652,1.0033,0.9234,1.2702,0.9552,0.9552,0.8928,0.9247,0.8454,0.8362,0.8341,0.8600,0.7935,0.9989,0.8349,1.0398,0.8053,0.8053,0.8994,0.8031,0.8066,1.1011,0.9744,0.9797,0.7666,0.7819,0.7479,0.7867,0.8104,0.8104,0.7994,0.8003,0.8982,0.6479,0.9237,0.9146,0.6731,0.9494,0.9084,0.9146,0.8630,0.9149,0.9324,0.9149,0.9879,0.9498,0.8905,0.9237,0.9408,0.8517,0.9482,0.9304,0.7145,0.8905,0.8293,0.9698,0.6983,0.8944,0.8637,0.8677,0.7934,0.8231,0.8643,0.6973,0.8688,0.8479,0.9722,0.6745,0.7359,0.8347,0.8385,0.8683,0.8600,0.8683,0.8547,0.7924,0.6742,0.6574,0.8143
  Max DD (P3),,,,split_detail,,"$4,094.00","$2,234.50","$2,359.50","$1,402.00","$6,191.50","$3,292.50","$3,027.00","$2,469.00","$3,082.50","$4,427.00","$7,283.00","$2,932.50","$4,199.00","$2,469.00","$3,930.50","$4,105.50","$7,056.50","$3,003.00","$4,322.00","$4,322.00","$6,988.50","$7,014.50","$8,383.50","$8,383.50","$11,301.00","$7,839.00","$13,244.00","$6,372.00","$9,007.50","$11,010.50","$9,947.00","$9,947.00","$8,779.00","$10,999.00","$10,598.00","$2,939.00","$8,689.50","$7,030.50","$11,472.00","$10,623.50","$13,028.50","$10,678.00","$10,453.00","$10,453.00","$10,695.00","$10,653.00","$6,823.50","$19,004.50","$7,836.00","$6,683.50","$20,200.00","$6,121.50","$6,781.50","$6,683.50","$8,398.00","$6,683.50","$9,850.00","$6,683.50","$6,839.50","$6,506.50","$8,398.00","$7,836.00","$6,501.50","$8,425.00","$8,388.00","$7,621.50","$20,010.50","$8,398.00","$10,139.50","$6,839.50","$18,598.00","$11,716.50","$10,122.00","$10,227.50","$16,415.00","$14,652.00","$13,132.00","$21,480.00","$9,925.00","$13,764.50","$8,883.00","$20,973.00","$18,228.50","$13,810.00","$11,342.00","$13,679.50","$14,167.50","$13,679.50","$14,195.50","$15,261.50","$18,302.50","$20,307.00","$15,458.00"
  Total PNL (P3),,,,split_detail,,$312.00,"$5,704.00","$3,047.50","$10,539.50","$-3,146.50","$1,811.50",$306.00,"$12,324.00","$1,932.50","$3,665.00","$1,620.00","$8,192.50","$3,893.00","$7,050.50","$4,842.00",$55.00,"$-2,521.50","$4,656.00",$-776.50,$-776.50,"$-3,368.00","$-2,479.50","$-5,590.50","$-5,906.00","$-6,719.50","$-4,909.50","$-8,307.00",$-34.50,"$-6,174.50","$1,529.00","$-7,444.50","$-7,444.50","$-3,654.50","$-8,237.50","$-7,629.50","$1,453.00","$-1,109.50",$-790.50,"$-10,103.50","$-9,255.00","$-11,660.00","$-9,309.50","$-8,710.00","$-8,710.00","$-9,326.50","$-9,284.50","$-3,442.00","$-19,313.00","$-2,444.50","$-2,842.50","$-16,070.50","$-1,622.50","$-3,112.50","$-2,842.50","$-4,557.00","$-2,870.00","$-2,619.50","$-2,870.00",$-549.00,"$-2,326.50","$-3,692.00","$-2,444.50","$-2,827.00","$-5,447.50","$-1,713.50","$-2,230.00","$-15,595.00","$-3,692.00","$-6,269.50","$-1,386.00","$-16,935.50","$-5,205.00","$-4,950.00","$-4,848.50","$-10,453.50","$-9,318.50","$-7,554.50","$-15,157.00","$-4,713.50","$-7,652.00","$-1,060.50","$-17,317.50","$-16,364.00","$-8,416.50","$-6,190.50","$-6,793.00","$-7,281.00","$-6,793.00","$-7,605.50","$-12,172.50","$-16,232.50","$-14,797.50","$-8,799.50"
  Avg Profit/Tr (P3),,,,split_detail,,$5.11,$92.00,$57.50,$210.79,$-49.94,$33.55,$5.10,$181.24,$30.20,$53.12,$23.14,$126.04,$55.61,$99.30,$70.17,$0.81,$-23.35,$59.69,$-11.42,$-11.42,$-33.35,$-22.96,$-50.36,$-54.18,$-52.09,$-45.04,$-69.22,$-0.34,$-52.77,$11.85,$-62.56,$-62.56,$-32.92,$-64.86,$-60.55,$23.06,$-8.04,$-6.22,$-69.68,$-64.27,$-80.97,$-62.90,$-54.44,$-54.44,$-57.93,$-57.67,$-31.29,$-123.01,$-22.63,$-25.84,$-92.36,$-15.02,$-27.79,$-25.84,$-41.43,$-25.63,$-19.40,$-25.63,$-3.84,$-14.63,$-32.96,$-22.63,$-18.48,$-46.17,$-14.90,$-20.46,$-76.82,$-32.96,$-53.13,$-9.49,$-99.04,$-33.37,$-41.25,$-40.07,$-56.51,$-47.06,$-44.44,$-85.63,$-39.28,$-46.94,$-7.74,$-84.07,$-74.72,$-50.70,$-48.36,$-41.67,$-44.67,$-41.67,$-46.37,$-55.08,$-108.94,$-102.05,$-57.89
  Span (min) (P3),,,,split_detail,,126.92,158.74,168.53,174.16,132.14,162.81,145.83,165.94,145.91,153.04,136.80,179.85,150.86,160.11,160.90,126.00,132.48,129.23,131.82,131.82,129.74,129.76,139.24,138.59,144.45,134.22,161.82,151.78,130.43,133.63,127.06,127.06,148.32,138.02,126.11,134.22,145.17,148.71,115.19,117.83,119.19,117.68,117.95,117.95,117.22,116.61,131.35,134.20,123.67,128.29,110.71,127.81,130.12,128.29,125.75,128.88,124.13,128.88,158.91,146.35,124.88,123.67,152.94,125.76,124.90,123.30,108.76,124.88,121.97,157.42,131.98,139.38,127.05,122.41,111.70,117.66,145.48,107.65,120.28,128.76,119.39,100.04,109.32,125.86,125.67,137.89,137.74,137.89,137.56,107.44,122.74,101.86,117.95
  Sortino (P5),,,,split_detail,,5.7214,6.6334,5.3684,6.6306,6.4149,4.6383,4.7915,7.0523,5.3897,3.5494,2.0684,1.8109,3.6211,6.5056,6.3602,-0.1050,3.1066,-1.3903,-0.3968,-0.3968,2.8321,2.2156,2.3727,1.6866,4.5887,2.5212,4.8989,2.0787,3.1990,1.4340,2.7563,2.7563,2.2568,2.5691,2.5509,7.6883,5.6151,5.0262,10.5356,10.4953,8.0395,9.5909,8.9437,8.4851,8.3282,7.6042,2.7773,4.9961,2.8903,2.7773,1.8286,2.2096,2.2527,2.6602,2.6602,2.4558,2.0041,2.2470,1.8557,2.2821,2.1784,2.0669,3.3489,2.3995,1.5125,1.5423,4.0802,1.5234,2.3995,1.0075,1.7452,1.8160,0.8605,1.5366,4.9348,2.2741,1.8098,4.4787,1.4075,1.2582,3.6785,3.5249,1.3680,1.5422,1.2555,1.4688,1.1337,1.2282,1.6717,0.3250,2.7456,4.6933,5.5646
  Trades/D (P5),,,,split_detail,,0.299,0.317,0.335,0.274,0.226,0.317,0.323,0.402,0.348,0.323,0.360,0.439,0.329,0.415,0.354,0.354,0.537,0.451,0.354,0.354,0.494,0.524,0.604,0.579,0.683,0.585,0.671,0.512,0.646,0.768,0.652,0.652,0.622,0.707,0.689,0.317,0.793,0.720,0.811,0.829,0.805,0.860,0.909,0.915,0.921,0.921,0.585,0.793,0.543,0.585,0.970,0.524,0.604,0.591,0.591,0.598,0.787,0.604,0.884,1.091,0.604,0.549,0.866,0.652,0.640,0.555,1.183,0.616,0.652,0.902,0.957,0.939,0.689,0.689,1.159,1.207,1.043,1.110,0.701,0.957,0.799,1.195,1.268,0.963,0.713,0.970,0.982,0.963,0.970,1.238,0.829,0.817,0.848
  Profit Fac (P5),,,,split_detail,,1.4655,1.6825,1.5698,1.8984,1.5141,1.4467,1.4534,1.8010,1.5305,1.3320,1.1917,1.1464,1.3451,1.6817,1.5704,0.9901,1.3496,0.8772,0.9628,0.9628,1.3165,1.2389,1.2313,1.1670,1.4511,1.2547,1.5305,1.2336,1.3269,1.1014,1.2788,1.2788,1.2233,1.2624,1.2545,1.7241,1.5933,1.5519,1.7266,1.7241,1.5906,1.6469,1.6161,1.5791,1.5627,1.5235,1.2867,1.5458,1.3236,1.2867,1.1304,1.2378,1.2215,1.2730,1.2730,1.2465,1.1988,1.2206,1.1416,1.1541,1.2209,1.2241,1.2634,1.2366,1.1469,1.1550,1.3182,1.1474,1.2366,1.0750,1.1604,1.1478,1.0796,1.1448,1.3972,1.1713,1.1312,1.3542,1.1343,1.0995,1.2824,1.2813,1.1047,1.1194,1.1197,1.1170,1.0875,1.0973,1.1343,1.0220,1.2546,1.3993,1.4860
  Max DD (P5),,,,split_detail,,"$7,970.00","$7,108.00","$6,755.50","$4,450.00","$4,740.00","$7,813.00","$6,955.00","$6,928.00","$6,833.50","$4,892.00","$7,073.50","$11,637.00","$4,892.00","$8,480.50","$8,725.00","$10,359.50","$7,729.50","$18,398.50","$11,188.50","$11,188.50","$7,729.50","$8,735.00","$13,569.50","$12,041.50","$13,526.00","$11,310.50","$12,972.00","$8,928.00","$11,431.50","$17,400.00","$13,263.50","$13,263.50","$15,466.50","$14,111.50","$12,836.50","$5,084.50","$14,698.00","$11,239.50","$6,693.50","$6,693.50","$7,180.50","$7,307.00","$6,523.00","$7,049.50","$7,049.50","$7,049.50","$10,959.00","$13,542.00","$7,729.50","$10,959.00","$11,727.50","$8,735.00","$11,826.00","$10,959.00","$10,959.00","$10,959.00","$14,738.50","$11,826.00","$16,362.00","$27,904.50","$10,959.00","$7,729.50","$15,036.50","$12,298.50","$11,827.50","$8,411.50","$8,357.00","$11,826.00","$12,298.50","$20,623.00","$20,673.50","$8,583.50","$13,022.50","$12,300.00","$9,145.50","$12,132.50","$23,331.50","$9,145.50","$12,899.50","$14,554.50","$8,980.00","$10,033.50","$15,071.50","$15,460.50","$12,899.50","$9,984.50","$11,019.00","$9,984.50","$8,936.00","$13,788.00","$10,355.00","$7,371.50","$8,693.00"
  Total PNL (P5),,,,split_detail,,"$10,760.00","$14,013.50","$14,323.00","$16,415.50","$9,590.00","$11,300.00","$11,080.50","$20,686.00","$13,105.00","$8,680.50","$5,467.00","$5,346.00","$9,023.00","$18,651.00","$13,050.50",$-287.50,"$17,134.00","$-5,236.00","$-1,116.50","$-1,116.50","$14,553.50","$11,715.00","$13,703.50","$9,549.50","$28,701.00","$14,384.00","$32,002.50","$11,603.50","$19,435.00","$6,429.00","$16,966.00","$16,966.00","$13,919.00","$17,353.00","$16,169.50","$15,369.50","$39,656.00","$34,907.00","$38,949.50","$39,393.50","$34,163.50","$37,075.50","$36,679.50","$35,299.50","$34,672.00","$31,861.50","$15,789.00","$35,013.50","$15,907.00","$15,789.00","$10,164.00","$11,673.00","$12,849.50","$15,196.00","$15,196.00","$14,012.00","$14,365.50","$12,807.50","$12,684.00","$16,426.00","$12,556.00","$11,561.00","$21,988.00","$14,487.50","$9,219.00","$8,499.50","$26,579.50","$8,917.00","$14,487.50","$6,969.50","$12,743.00","$12,274.50","$5,405.50","$9,717.00","$31,925.00","$15,612.00","$13,114.50","$27,950.50","$9,095.00","$8,232.00","$18,053.50","$22,841.50","$9,707.50","$9,866.50","$8,198.00","$10,166.50","$7,808.00","$8,448.00","$11,488.50","$2,070.00","$18,055.00","$23,656.50","$29,665.50"
